Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.125	focal	-0.125	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.158	1.793	-0.158	1.793
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.202	focal	-0.202	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.257	1.673	-0.257	1.673
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.182	focal	0.182	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.224	2.336	0.224	2.336
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.010	focal	0.01	-	6	0.950	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.017	0.012	2.017
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.145	focal	0.145	-	6822	54.122	0.317	-	-	-	-	-	-	-	-	-	-	-	-	0.179	2.264	0.179	2.264
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.702	focal	-0.702	-	7919	147.428	-0.201	-	-	-	-	-	-	-	-	-	-	-	-	-0.948	1.037	-0.948	1.037
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	-0.149	focal	-0.149	-	595	7.979	-1.245	-	-	-	-	-	-	-	-	-	-	-	-	-0.189	1.755	-0.189	1.755
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.324	focal	0.324	-	566	5.065	1.066	-	-	-	-	-	-	-	-	-	-	-	-	0.395	2.629	0.395	2.629
OPA1	-	protein_coding	3	q29	-	-	-	-	0.200	focal	0.2	-	11762	124.572	0.233	-	-	-	-	-	-	-	-	-	-	-	-	0.246	2.372	0.246	2.372
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.156	focal	-0.156	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.198	1.744	-0.198	1.744
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.196	focal	0.196	-	3	2.130	-	-	-	-	-	-	-	-	-	-	-	-	-	0.241	2.364	0.241	2.364
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.156,0.389	focal,focal	0.389	-	350	3.563	0.745	-	-	-	-	-	-	-	-	-	-	-	-	0.192,0.472	2.285,2.774	0.472	2.774
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.791	focal	-0.791	-	236	2.805	0.020	-	-	-	-	-	-	-	-	-	-	-	-	-1.082	0.945	-1.082	0.945
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.095	focal	-0.095	-	903	9.761	-0.739	-	-	-	-	-	-	-	-	-	-	-	-	-0.120	1.841	-0.120	1.841
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.268	focal	0.268	-	14515	69.951	0.861	-	-	-	-	-	-	-	-	-	-	-	-	0.328	2.510	0.328	2.510
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.268	focal	0.268	-	4771	53.967	0.301	-	-	-	-	-	-	-	-	-	-	-	-	0.328	2.510	0.328	2.510
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.008	focal	0.008	-	3261	29.767	-0.903	-	-	-	-	-	-	-	-	-	-	-	-	0.010	2.014	0.010	2.014
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	-0.054	focal	-0.054	-	2089	23.657	-0.536	-	-	-	-	-	-	-	-	-	-	-	-	-0.068	1.908	-0.068	1.908
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.093	focal	0.093	-	1844	21.775	0.082	-	-	-	-	-	-	-	-	-	-	-	-	0.115	2.166	0.115	2.166
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	-0.135	focal	-0.135	-	12131	161.904	0.822	-	-	-	-	-	-	-	-	-	-	-	-	-0.171	1.777	-0.171	1.777
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	-0.211,0.269	focal,focal	0.269	-	20484	287.404	1.526	-	-	-	-	-	-	-	-	-	-	-	-	-0.269,0.329	1.660,2.512	0.329	2.512
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	-0.151	focal	-0.151	-	10	0.533	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	-0.191	1.752	-0.191	1.752
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.114	focal	-0.114	-	7	0.692	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.144	1.810	-0.144	1.810
