Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	-0.010	largescale	-0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.015	2.188	-0.015	2.188
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
TCOF1	-	protein_coding	5	q32	-	-	-	-	-0.012	largescale	-0.012	-	-	-	-0.061	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.023	largescale	-0.023	-	-	-	0.148	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.409	largescale	0.409	-	-	-	0.148	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.395	focal	0.395	-	-	-	1.781	-	-	-	-	-	-	-	-	-	-	-	-	0.549	3.234	0.549	3.234
OPA1	-	protein_coding	3	q29	-	-	-	-	-0.015	focal	-0.015	-	-	-	0.044	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.015	largescale	-0.015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.618	largescale	-0.618	-	-	-	-0.169	-	-	-	-	-	-	-	-	-	-	-	-	-1.036	1.078	-1.036	1.078
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.615	largescale	-0.615	-	-	-	2.127	-	-	-	-	-	-	-	-	-	-	-	-	-1.030	1.082	-1.030	1.082
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.013	largescale	-0.013	-	-	-	-0.192	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	2.181	-0.019	2.181
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	-0.012	largescale	-0.012	-	-	-	1.559	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	-0.012	largescale	-0.012	-	-	-	1.144	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	-0.023	largescale	-0.023	-	-	-	0.770	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	-0.014	largescale	-0.014	-	-	-	1.500	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.409	largescale	0.409	-	-	-	1.374	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	-0.014	largescale	-0.014	-	-	-	2.228	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.409	largescale	0.409	-	-	-	0.833	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	-0.015	largescale	-0.015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	-0.022	2.176	-0.022	2.176
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.033	largescale	-0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.049	2.137	-0.049	2.137
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.033	largescale	-0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.049	2.137	-0.049	2.137
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.409	largescale	0.409	-	-	-	0.612	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.016	largescale	-0.016	-	-	-	0.184	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.745	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
TEX28P1	-	protein_coding	X	q28	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-0.291	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	-0.028	focal	-0.028	-	-	-	1.540	-	-	-	-	-	-	-	-	-	-	-	-	-0.041	2.148	-0.041	2.148
CHST9	-	protein_coding	18	q11.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-0.167	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.395	focal	0.395	-	-	-	0.145	-	-	-	-	-	-	-	-	-	-	-	-	0.549	3.234	0.549	3.234
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	0.400	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-0.098	largescale	-0.098	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.147	0.998	-0.147	0.998
